# ATENEA Telemetry Log
# Format: fecha      | usuario     | IP     | version
2026-07-15 21:43:52 UTC | IXA | 200.124.251.27 | v1.7
2026-08-03 16:45:41 UTC | Sergio | 200.189.31.103 | v1.7
2026-08-09 17:29:22 UTC | migue | 201.185.150.118 | v1.7
2026-08-10 00:33:10 UTC | migue | 201.185.150.118 | v1.7
2026-08-11 04:22:35 UTC | IXA | 200.124.251.27 | v1.7
2026-08-11 04:59:18 UTC | IXA | 200.124.251.27 | v1.7
2026-08-11 05:03:09 UTC | IXA | 200.124.251.27 | v1.7
2026-08-11 22:30:36 UTC | IXA | 200.124.251.27 | v1.7
2026-08-11 22:53:31 UTC | IXA | 200.124.251.27 | v1.7
2026-08-11 23:18:00 UTC | IXA | 200.124.251.27 | v1.7
2026-08-12 02:05:36 UTC | migue | 201.185.150.118 | v1.7
2026-08-12 22:15:01 UTC | IXA | 201.183.70.77 | v1.7
2026-08-12 22:22:53 UTC | IXA | 201.183.70.77 | v1.7
2026-08-17 08:38:12 UTC | IXA | 201.183.70.77 | v1.7
2026-08-17 09:10:43 UTC | IXA | 201.183.70.77 | v1.7
2026-08-17 18:16:46 UTC | Sergio | 179.238.45.35 | v1.7
2026-08-18 00:20:22 UTC | migue | 201.185.150.118 | v1.7
2026-08-18 19:34:36 UTC | babebe | 142.154.209.67 | v1.7
2026-08-18 19:37:30 UTC | babebe | 142.154.209.67 | v1.7
2026-08-18 21:27:35 UTC | babebe | 142.154.209.67 | v1.7
2026-08-19 05:02:21 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-19 05:12:49 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-19 05:47:56 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-19 15:15:57 UTC | babebe | 142.154.209.67 | v1.7
2026-08-19 15:30:46 UTC | babebe | 142.154.209.67 | v1.7
2026-08-19 19:43:54 UTC | babebe | 142.154.209.67 | v1.7
2026-08-19 20:48:06 UTC | babebe | 142.154.209.67 | v1.7
2026-08-19 21:15:25 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-19 22:27:02 UTC | Salvador | 187.152.149.102 | v1.7
2026-08-20 02:57:23 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-20 03:04:49 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-20 04:13:34 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-20 04:19:21 UTC | IXA | 201.183.70.77 | v1.7 Ci
2026-08-20 05:43:27 UTC | IXA | 201.183.70.77 | v1.7 P3D
2026-08-20 06:07:25 UTC | IXA | 201.183.70.77 | v1.7 P3D
2026-08-20 20:36:12 UTC | IXA | 201.183.70.77 | v1.7
2026-08-22 14:56:14 UTC | austr | 45.230.38.161 | v1.7
2026-08-22 17:32:34 UTC | austr | 45.230.38.161 | v1.7
2026-08-22 20:57:47 UTC | IXA | unknown | v1.7 ET
2026-08-23 00:17:39 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-23 00:30:50 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-23 00:37:27 UTC | IXA | 201.183.70.77 | v1.7
2026-08-23 00:56:11 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-23 01:08:52 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-23 01:14:46 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-23 01:34:10 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-23 01:50:41 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-23 17:50:51 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-24 01:23:41 UTC | IXA | 201.183.70.77 | v1.7
2026-08-24 06:21:27 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-24 06:30:44 UTC | IXA | 201.183.70.77 | v1.7 ET
2026-08-24 07:37:51 UTC | IXA | 201.183.70.77 | v1.7 SAP
2026-08-24 16:31:30 UTC | Hope CGI | unknown | v1.7
2026-08-24 16:57:42 UTC | Hope CGI | unknown | v1.7
2026-08-24 17:23:14 UTC | Salvador | 187.152.149.102 | v1.7
2026-08-24 18:40:39 UTC | babebe | 142.154.209.67 | v1.7
2026-08-25 04:34:28 UTC | IXA | 201.183.70.77 | v1.7 SAP
2026-08-25 04:46:43 UTC | IXA | 201.183.70.77 | v1.7 SAP
2026-08-25 16:13:45 UTC | babebe | 142.154.209.67 | v1.7
